0
Clostridium clostridioforme
Bacteroides fragilis
Flavonifractor plautii
Dialister invisus
Ruminococcus bicirculans
Blautia sp CAG 257
Ruminococcus gnavus
Eubacterium hallii
Clostridium bolteae
Clostridium saccharolyticum
Clostridium asparagiforme
Clostridium bolteae CAG 59
Clostridium symbiosum
Eisenbergiella massiliensis
Alistipes putredinis
Roseburia hominis
Roseburia inulinivorans
Bifidobacterium adolescentis
Eggerthella lenta
Bacteroides xylanisolvens
Sutterella parvirubra
Clostridium lavalense
Akkermansia muciniphila
Acidaminococcus intestini
Ruminococcus torques
Roseburia intestinalis
Klebsiella pneumoniae
Erysipelatoclostridium ramosum
Barnesiella intestinihominis
Collinsella stercoris
Bacteroides finegoldii
Turicimonas muris
Proteobacteria bacterium CAG 139
Anaeromassilibacillus sp An250
Alistipes finegoldii
Ruminococcus bromii
Odoribacter splanchnicus
Oscillibacter sp CAG 241
Alistipes indistinctus
Gemmiger formicilis
Firmicutes bacterium CAG 83
Dorea formicigenerans
Collinsella intestinalis
Dielma fastidiosa
Bacteroides eggerthii
Alistipes shahii
Butyricimonas synergistica
Clostridium sp CAG 242
Bacteroides massiliensis
Eubacterium ventriosum
